age,education-num,hours-per-week,capital-gain,sex,workclass,education,marital-status,occupation,target
27.0,10.0,40,0,Female,Private,Some-college,Never-married,Adm-clerical,0
51.0,9.0,40,0,Male,Private,HS-grad,Married-civ-spouse,Prof-specialty,0
,10.0,60,0,Female,,,Married-civ-spouse,Sales,1
64.0,9.0,45,0,Male,Private,HS-grad,Married-civ-spouse,Transport-moving,0
38.0,4.0,40,0,Female,Private,7th-8th,Divorced,Sales,0
50.0,15.0,50,0,Male,Self-emp-not-inc,Prof-school,Divorced,Sales,1
41.0,13.0,40,0,Female,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,1
74.0,9.0,6,6767,Male,,HS-grad,Married-civ-spouse,,0
50.0,10.0,40,0,Male,Private,Some-college,Married-civ-spouse,Tech-support,1
58.0,13.0,45,0,Male,Private,Bachelors,Married-civ-spouse,Exec-managerial,1
62.0,10.0,60,0,Male,Private,Some-college,Married-civ-spouse,Adm-clerical,1
30.0,10.0,50,0,Male,Private,Some-college,Never-married,Sales,1
46.0,,22,0,Female,Private,Masters,Married-civ-spouse,Prof-specialty,1
42.0,10.0,40,0,Female,Private,Some-college,Never-married,Exec-managerial,1
20.0,8.0,35,0,Male,Private,12th,Never-married,Other-service,0
52.0,13.0,40,0,Male,Federal-gov,,Married-civ-spouse,Prof-specialty,1
22.0,9.0,40,0,Male,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,0
20.0,8.0,35,0,Female,Private,12th,Never-married,Prof-specialty,0
38.0,13.0,55,7688,Male,Private,Bachelors,Married-civ-spouse,Exec-managerial,1
49.0,6.0,50,0,Male,Private,10th,Married-civ-spouse,Machine-op-inspct,0
33.0,9.0,60,0,Male,,HS-grad,Married-civ-spouse,Sales,1
28.0,9.0,40,0,Male,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
29.0,10.0,45,0,,Self-emp-not-inc,Some-college,Never-married,Craft-repair,0
,11.0,40,0,Female,Private,Assoc-voc,Never-married,Tech-support,0
38.0,9.0,40,0,Male,Private,HS-grad,Married-civ-spouse,Sales,1
28.0,13.0,50,0,Male,Private,Bachelors,Never-married,Sales,0
46.0,13.0,40,0,Male,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,1
58.0,11.0,40,0,Female,Private,Assoc-voc,Widowed,Prof-specialty,0
53.0,10.0,40,4386,Male,Local-gov,Some-college,Married-civ-spouse,Protective-serv,1
38.0,,32,0,Female,,11th,Never-married,,0
