age,balance,campaign,contact,default,duration,education,housing,job,loan,marital,pdays,poutcome,previous,y
52,-98.0,1,unknown,no,423.0,secondary,yes,blue-collar,no,married,-1,,0,0
52,31.0,1,unknown,no,120.0,secondary,yes,admin.,no,married,-1,unknown,0,0
40,737.0,1,unknown,no,102.0,primary,yes,blue-collar,yes,divorced,-1,unknown,0,0
37,425.0,1,unknown,no,226.0,tertiary,yes,management,no,married,-1,unknown,0,0
31,,1,unknown,no,1171.0,primary,yes,blue-collar,no,married,-1,unknown,0,0
25,1242.0,2,unknown,no,615.0,secondary,yes,self-employed,no,single,-1,unknown,0,1
46,684.0,2,unknown,no,414.0,primary,yes,blue-collar,no,married,-1,unknown,0,0
46,1757.0,3,unknown,no,396.0,primary,yes,entrepreneur,no,married,-1,unknown,0,0
36,596.0,2,unknown,no,372.0,tertiary,yes,management,no,married,-1,unknown,0,0
50,1502.0,2,unknown,no,34.0,primary,no,unknown,no,married,-1,unknown,0,0
50,0.0,4,unknown,no,199.0,primary,no,blue-collar,no,married,-1,unknown,0,0
60,470.0,2,unknown,no,100.0,primary,no,retired,no,single,-1,unknown,0,0
45,12389.0,1,cellular,no,711.0,secondary,no,technician,yes,divorced,-1,unknown,0,0
49,463.0,2,telephone,no,541.0,unknown,yes,services,no,married,-1,unknown,0,0
51,9228.0,4,cellular,no,655.0,secondary,no,housemaid,no,divorced,-1,unknown,0,1
44,841.0,4,cellular,no,504.0,secondary,no,blue-collar,no,married,-1,unknown,0,0
31,512.0,3,cellular,no,96.0,tertiary,yes,management,no,married,-1,unknown,0,0
46,3.0,4,cellular,no,92.0,tertiary,no,management,no,married,-1,unknown,0,0
45,0.0,2,cellular,no,392.0,tertiary,no,management,no,divorced,-1,unknown,0,0
55,0.0,3,cellular,no,252.0,tertiary,no,self-employed,no,married,-1,unknown,0,0
36,12132.0,1,telephone,no,146.0,tertiary,no,self-employed,no,married,-1,unknown,0,0
53,329.0,1,cellular,no,189.0,tertiary,no,services,no,divorced,-1,unknown,0,0
32,1465.0,5,telephone,no,118.0,secondary,no,admin.,no,single,-1,unknown,0,0
27,2784.0,1,telephone,no,,secondary,yes,student,no,single,328,failure,1,0
41,8902.0,3,cellular,no,16.0,tertiary,yes,management,no,married,249,failure,5,0
20,502.0,1,cellular,no,261.0,secondary,no,student,no,single,-1,unknown,0,1
44,130.0,1,cellular,no,263.0,secondary,yes,services,no,divorced,371,failure,1,0
43,275.0,2,telephone,no,151.0,tertiary,yes,technician,no,single,360,other,1,0
40,503.0,2,cellular,no,24.0,secondary,yes,blue-collar,yes,married,-1,unknown,0,0
72,438.0,1,cellular,no,279.0,tertiary,no,retired,no,divorced,-1,unknown,0,1
