age,balance,campaign,contact,day,default,duration,education,housing,job,loan,marital,month,pdays,poutcome,previous,target
52,-98,1,unknown,7,no,423,secondary,yes,blue-collar,no,married,may,-1,unknown,0,0
52,31,1,unknown,7,no,120,secondary,yes,admin.,no,married,may,-1,unknown,0,0
40,737,1,unknown,12,no,102,primary,yes,blue-collar,yes,divorced,may,-1,unknown,0,0
37,425,1,unknown,20,no,226,tertiary,yes,management,no,married,may,-1,unknown,0,0
31,206,1,unknown,23,no,1171,primary,yes,blue-collar,no,married,may,-1,unknown,0,0
25,1242,2,unknown,28,no,615,secondary,yes,self-employed,no,single,may,-1,unknown,0,1
46,684,2,unknown,29,no,414,primary,yes,blue-collar,no,married,may,-1,unknown,0,0
46,1757,3,unknown,30,no,396,primary,yes,entrepreneur,no,married,may,-1,unknown,0,0
36,596,2,unknown,2,no,372,tertiary,yes,management,no,married,jun,-1,unknown,0,0
50,1502,2,unknown,6,no,34,primary,no,unknown,no,married,jun,-1,unknown,0,0
50,0,4,unknown,9,no,199,primary,no,blue-collar,no,married,jun,-1,unknown,0,0
60,470,2,unknown,16,no,100,primary,no,retired,no,single,jun,-1,unknown,0,0
45,12389,1,cellular,8,no,711,secondary,no,technician,yes,divorced,jul,-1,unknown,0,0
41,372,1,telephone,11,no,117,primary,yes,blue-collar,no,married,jul,-1,unknown,0,0
49,463,2,telephone,15,no,541,unknown,yes,services,no,married,jul,-1,unknown,0,0
51,9228,4,cellular,18,no,655,secondary,no,housemaid,no,divorced,jul,-1,unknown,0,1
33,149,1,cellular,22,no,153,tertiary,yes,management,yes,married,jul,-1,unknown,0,0
52,14,5,cellular,28,no,55,primary,no,services,yes,married,jul,-1,unknown,0,0
44,841,4,cellular,28,no,504,secondary,no,blue-collar,no,married,jul,-1,unknown,0,0
31,512,3,cellular,14,no,96,tertiary,yes,management,no,married,aug,-1,unknown,0,0
46,3,4,cellular,18,no,92,tertiary,no,management,no,married,aug,-1,unknown,0,0
45,1629,4,cellular,18,no,58,secondary,no,technician,no,married,aug,-1,unknown,0,0
45,0,2,cellular,26,no,392,tertiary,no,management,no,divorced,aug,-1,unknown,0,0
33,362,6,cellular,26,no,160,secondary,no,technician,yes,married,aug,-1,unknown,0,0
55,0,3,cellular,17,no,252,tertiary,no,self-employed,no,married,nov,-1,unknown,0,0
33,2975,1,cellular,20,no,207,secondary,yes,services,no,married,nov,-1,unknown,0,0
36,12132,1,telephone,21,no,146,tertiary,no,self-employed,no,married,nov,-1,unknown,0,0
53,329,1,cellular,30,no,189,tertiary,no,services,no,divorced,jan,-1,unknown,0,0
32,1465,5,telephone,30,no,118,secondary,no,admin.,no,single,jan,-1,unknown,0,0
48,426,2,cellular,5,no,153,secondary,yes,blue-collar,yes,married,feb,177,failure,2,0
32,5969,7,cellular,6,no,12,unknown,no,student,no,single,feb,-1,unknown,0,0
27,2784,1,telephone,20,no,153,secondary,yes,student,no,single,apr,328,failure,1,0
41,8902,3,cellular,20,no,16,tertiary,yes,management,no,married,apr,249,failure,5,0
35,2496,2,cellular,20,no,9,secondary,yes,technician,no,single,apr,-1,unknown,0,0
20,502,1,cellular,30,no,261,secondary,no,student,no,single,apr,-1,unknown,0,1
22,3,1,cellular,6,no,156,secondary,yes,services,no,single,may,-1,unknown,0,0
42,-95,1,cellular,6,no,204,primary,yes,blue-collar,no,single,may,-1,unknown,0,0
58,807,1,cellular,7,no,57,unknown,yes,blue-collar,no,married,may,366,failure,2,0
38,215,2,cellular,8,no,124,primary,yes,self-employed,no,married,may,353,other,1,0
37,807,3,cellular,12,no,807,secondary,yes,technician,no,married,may,172,failure,4,0
44,130,1,cellular,14,no,263,secondary,yes,services,no,divorced,may,371,failure,1,0
43,275,2,telephone,14,no,151,tertiary,yes,technician,no,single,may,360,other,1,0
33,249,7,cellular,14,no,7,secondary,yes,blue-collar,no,married,may,287,failure,4,0
26,-67,1,cellular,15,no,637,tertiary,yes,technician,no,single,may,-1,unknown,0,1
39,-529,8,cellular,15,no,22,secondary,yes,technician,no,single,may,175,failure,5,0
24,843,2,cellular,18,no,22,secondary,yes,admin.,no,single,may,-1,unknown,0,0
40,503,2,cellular,18,no,24,secondary,yes,blue-collar,yes,married,may,-1,unknown,0,0
37,3,4,cellular,12,no,105,secondary,yes,services,no,married,jun,318,failure,6,0
72,438,1,cellular,23,no,279,tertiary,no,retired,no,divorced,feb,-1,unknown,0,1
58,2155,2,cellular,11,no,248,secondary,no,management,yes,married,aug,182,success,7,1
