Age,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,target
28.0,S,35.5,0,24,1,male,0,1
21.0,S,8.05,0,38,3,male,0,0
7.0,S,39.6875,1,51,3,male,4,0
26.0,S,20.575,2,94,3,male,1,0
33.0,C,7.8958,0,131,3,male,0,0
22.0,S,66.6,0,152,1,female,1,1
21.0,S,7.925,0,174,3,male,0,0
28.0,S,25.4667,1,177,3,male,3,0
58.0,C,146.5208,0,196,1,female,0,1
29.0,S,10.4625,1,252,3,female,1,0
43.0,S,26.25,1,315,2,male,1,0
38.0,S,153.4625,1,333,1,male,0,0
28.0,S,7.8958,0,336,3,male,0,0
29.0,S,66.6,0,337,1,male,1,0
45.0,S,8.05,0,339,3,male,0,1
15.0,C,7.2292,1,353,3,male,1,0
28.0,Q,7.8792,0,359,3,female,0,1
27.0,C,211.5,2,378,1,male,0,0
28.0,S,15.85,0,404,3,male,1,0
17.0,S,7.125,0,434,3,male,0,0
5.0,C,19.2583,1,449,3,female,2,1
34.0,S,21.0,0,477,2,male,1,0
2.0,S,12.2875,1,480,3,female,0,1
9.0,S,15.9,1,490,3,male,1,1
25.0,S,151.55,2,499,1,female,1,0
18.0,C,108.9,0,506,1,male,1,0
28.0,C,7.2292,0,525,3,male,0,0
28.0,S,221.7792,0,528,1,male,0,0
7.0,S,26.25,2,536,2,female,0,1
36.0,S,71.0,2,541,1,female,0,1
50.0,C,106.425,0,545,1,male,1,0
19.0,S,26.0,0,547,2,female,1,1
48.0,C,39.6,0,557,1,female,1,1
28.0,S,8.05,0,590,3,male,0,0
28.0,S,33.0,0,597,2,female,0,1
23.0,S,7.55,0,650,3,female,0,1
27.0,C,76.7292,0,682,1,male,0,1
14.0,S,46.9,2,684,3,male,5,0
4.0,C,13.4167,1,692,3,female,0,1
42.0,S,26.2875,0,708,1,male,0,1
19.0,S,7.65,0,716,3,male,0,0
17.0,S,7.0542,0,722,3,male,1,0
34.0,S,13.0,0,723,2,male,0,0
25.0,S,7.925,0,730,3,female,1,0
29.0,S,211.3375,0,731,1,female,0,1
23.0,S,13.0,0,734,2,male,0,0
33.0,S,9.5,0,753,3,male,0,0
57.0,S,10.5,0,773,2,female,0,0
18.0,S,7.75,0,776,3,male,0,0
39.0,S,13.0,0,796,2,male,0,0
