alcalinity_of_ash,alcohol,ash,color_intensity,flavanoids,hue,magnesium,malic_acid,nonflavanoid_phenols,od280/od315_of_diluted_wines,proanthocyanins,proline,total_phenols,target
15.6,14.23,2.43,5.64,3.06,1.04,127.0,1.71,0.28,3.92,2.29,1065.0,2.8,1
18.6,13.16,2.67,5.68,3.24,1.03,101.0,2.36,0.3,3.17,2.81,1185.0,2.8,1
17.6,14.06,2.61,5.05,2.51,1.06,121.0,2.15,0.31,3.58,1.25,1295.0,2.6,1
12.0,14.38,2.38,7.5,3.64,1.2,102.0,1.87,0.29,3.0,2.96,1547.0,3.3,1
20.0,14.3,2.72,6.2,3.14,1.07,120.0,1.92,0.33,2.65,1.97,1280.0,2.8,1
20.0,13.83,2.62,6.6,3.4,1.13,115.0,1.57,0.4,2.57,1.72,1130.0,2.95,1
16.0,14.06,2.28,5.65,3.17,1.09,126.0,1.63,0.24,3.71,2.1,780.0,3.0,1
16.1,13.39,2.62,4.8,2.94,0.92,93.0,1.77,0.34,3.22,1.45,1195.0,2.85,1
19.1,13.58,2.36,6.9,3.19,1.09,106.0,1.66,0.22,2.88,1.95,1515.0,2.86,1
18.0,13.05,2.55,4.25,2.43,1.12,98.0,1.65,0.29,2.51,1.44,1105.0,2.45,1
13.2,14.22,2.51,5.1,3.04,0.89,128.0,3.99,0.2,3.53,2.08,760.0,3.0,1
17.5,13.24,2.29,4.36,2.63,0.82,103.0,3.98,0.32,3.0,1.66,680.0,2.64,1
18.9,14.21,2.44,5.24,2.65,0.87,111.0,4.04,0.3,3.33,1.25,1080.0,2.85,1
17.1,13.77,2.68,6.3,2.79,1.13,115.0,1.9,0.39,2.93,1.68,1375.0,3.0,1
16.4,13.74,2.25,5.85,2.9,0.92,118.0,1.67,0.21,3.2,1.62,1060.0,2.6,1
16.8,12.64,2.02,5.75,1.41,0.98,100.0,1.36,0.53,1.59,0.62,450.0,2.02,0
18.0,13.67,1.92,3.8,1.79,1.23,94.0,1.25,0.32,2.46,0.73,630.0,2.1,0
18.1,12.37,2.56,4.6,2.65,1.19,98.0,1.21,0.37,2.3,2.08,678.0,2.42,0
15.0,13.11,1.7,5.3,3.18,1.12,78.0,1.01,0.26,3.18,2.28,502.0,2.98,0
19.6,12.37,1.92,4.68,2.0,1.12,78.0,1.17,0.27,3.48,1.04,510.0,2.11,0
21.0,11.96,2.3,3.21,2.14,0.99,101.0,1.09,0.13,3.13,1.65,886.0,3.38,0
19.0,12.0,2.0,2.5,2.26,1.38,86.0,0.92,0.3,3.12,1.43,278.0,2.42,0
18.0,11.84,2.58,3.05,2.21,0.79,94.0,0.89,0.22,3.08,2.35,520.0,2.2,0
21.5,11.81,2.74,2.5,0.99,0.95,134.0,2.12,0.14,2.26,1.56,625.0,1.6,0
18.5,12.6,1.9,2.45,1.36,1.04,88.0,1.34,0.29,2.77,1.35,562.0,1.45,0
21.0,12.34,2.46,2.8,2.11,0.8,98.0,2.45,0.34,3.38,1.31,438.0,2.56,0
22.0,12.42,2.27,2.7,1.84,0.86,90.0,2.55,0.66,3.3,1.42,315.0,1.68,0
19.0,12.25,2.12,3.4,2.03,1.0,80.0,1.73,0.37,3.17,1.63,510.0,1.65,0
22.5,12.08,2.5,2.9,2.29,0.93,84.0,1.39,0.43,3.19,1.04,385.0,2.56,0
20.8,11.82,1.99,1.95,1.6,0.95,86.0,1.47,0.3,3.33,1.53,495.0,1.98,0
22.5,12.42,2.19,2.06,2.09,1.06,108.0,1.61,0.34,2.96,1.61,345.0,2.0,0
28.5,11.56,3.23,6.0,5.08,0.93,119.0,2.05,0.47,3.69,1.87,465.0,3.18,0
24.5,12.37,2.3,2.12,2.45,0.89,88.0,1.63,0.4,2.78,1.9,342.0,2.22,0
22.0,12.04,2.38,2.6,1.75,0.79,80.0,4.3,0.42,2.57,1.35,580.0,2.1,0
24.0,12.81,2.4,5.7,1.09,0.66,98.0,2.31,0.27,1.36,0.83,560.0,1.15,0
18.5,12.6,2.2,7.1,0.66,0.73,94.0,2.46,0.63,1.58,0.94,695.0,1.62,0
19.5,13.49,2.19,5.7,0.48,0.81,88.0,3.59,0.58,1.82,0.88,580.0,1.62,0
24.0,12.84,2.61,4.92,0.6,0.89,101.0,2.96,0.53,2.15,0.81,590.0,2.32,0
21.0,12.93,2.7,4.6,0.5,0.77,96.0,2.81,0.53,2.31,0.75,600.0,1.54,0
23.5,13.52,2.72,4.35,0.52,0.89,97.0,3.17,0.5,2.06,0.55,520.0,1.55,0
18.5,12.25,2.2,8.21,0.78,0.65,112.0,3.88,0.29,2.0,1.14,855.0,1.38,0
20.0,13.88,2.23,4.9,0.34,0.58,80.0,5.04,0.4,1.33,0.68,415.0,0.98,0
22.0,12.79,2.48,10.8,1.36,0.48,112.0,2.67,0.24,1.47,1.26,480.0,1.48,0
22.0,13.17,2.32,7.9,0.63,0.6,93.0,5.19,0.61,1.48,1.55,725.0,1.74,0
21.0,12.36,2.38,7.65,0.92,0.56,88.0,3.83,0.5,1.58,1.04,520.0,2.3,0
20.0,13.69,2.54,5.88,0.56,0.96,107.0,3.26,0.5,1.82,0.8,680.0,1.83,0
19.0,12.2,2.32,5.5,0.49,0.66,96.0,3.03,0.4,1.83,0.73,510.0,1.25,0
23.0,13.4,2.48,7.3,0.75,0.7,102.0,3.91,0.43,1.56,1.41,750.0,1.8,0
20.0,13.27,2.26,10.2,0.69,0.59,120.0,4.28,0.43,1.56,1.35,835.0,1.59,0
20.0,13.17,2.37,9.3,0.68,0.6,120.0,2.59,0.53,1.62,1.46,840.0,1.65,0
